Nom,Commentaire,Secteur d'activité,Localisation,Nombre de postes,Url postes
ValVital,"ValVital est une entreprise familiale spécialisée dans la gestion des établissements thermaux et des centres de bien-être, basée en Savoie et fondée par Bernard RIAC en 1989. A ce jour, ValVital est le deuxième groupe thermal français le plus important.
ValVital, c'est 15 sites thermaux en France. C'est également plus de 30 ans d'expertise qui répondent à des enjeux de santé publique, touristiques et de loisirs.","Santé, Services à la personne, Tourisme",Aix-Les-Bains,Candidatures spontanées !,/fr/companies/valvital/jobs
The Innovation Loop,"Le ministère de l’Économie, des Finances et de la Souveraineté industrielle et numérique (MEFSIN) est chargé de préparer et de mettre en œuvre la politique du Gouvernement en matière économique, financière, industrielle et du numérique.
Le ministère, c'est plus de 166 métiers, 130 O00 personnes dont plus de 7 500 dans la filière numérique.
L'écosystème des services numériques du MEFSIN :

Au Secrétariat Général : Le Service du Numérique
Dans les Directions d’Administration Centrale: la Direction du Budget, la Direction Générale du Trésor, la Direction Générale des entreprises
Dans les Directions à réseau : la Direction des Finances Publiques, la Direction des Douanes et Droits Indirects, la Direction de la Concurrence, de la Consommation et de la Répression des Fraudes, l'Institut National de la Statistique et des Études Économiques, la Direction des achats de l’État
Dans les Services à Compétence Nationale : L'agence pour l'informatique financière de l’État, le Centre Interministériel des Services Informatiques des Ressources Humaines, TRACFIN

https://choisirleservicepublic.gouv.fr/employeurs/ministere-economie-finances","Administration publique, Cybersécurité, Intelligence artificielle / Machine Learning, SaaS / Cloud Services","Angers, Besançon, Châlons-En-Champagne, Clermont-Ferrand, Ivry-Sur-Seine, Lille, Lyon, Marseille, Metz, Montreuil, Montrouge, Nantes, Nice, Noisiel, Noisy-Le-Grand, Orléans, Osny, Reims, Rennes, Strasbourg, Toulouse, Tours, Vincennes",2 offres,/fr/companies/the-innovation-loop/jobs
AXA Climate,"Urbyn, c’est une jeune startup de l’économie circulaire pleinement engagée dans l’économie sociale et solidaire.
Fondée en 2018, Urbyn est une équipe de 30 personnes, toutes motivées à mener à bien notre mission : redonner aux entreprises le contrôle de leurs déchets afin d’en réduire l’impact environnemental.
Grâce à sa plateforme en ligne, ses experts en économie circulaire et à son réseau des meilleurs prestataires de recyclage et réemploi partout en France, Urbyn a pour vocation d'être le service unique, digitalisé, transparent et indépendant dont toutes les entreprises, grands comptes et ETI, ont besoin pour gérer durablement leurs déchets.",Environnement / Développement durable,Paris,19 offres,/fr/companies/axa-climate/jobs
UNE PIECE EN PLUS,"Elements est un producteur d’énergies renouvelables dont la vocation est d’accélérer la transition énergétique par la fourniture d’une électricité décarbonée émanant de projets développés dans le respect des territoires, de leurs habitants et de la biodiversité locale.
Elements dispose d’un savoir-faire sur l’ensemble des étapes de la réalisation de centrales éoliennes, hydroélectriques, solaires et de stockage.",Energie,"Montpellier, Bordeaux, Lyon, Nantes, Paris",10 offres,/fr/companies/une-piece-en-plus/jobs
Office International De L'Eau,"The Innovation Loop s’est donné pour mission d’aider les innovateurs et leurs financeurs à réellement changer le monde, en levant un à un les obstacles qui se dressent devant eux !
Pour cela, nous avons créé il y a 5 ans une plateforme qui BOOOOSTE le contenu tech et business des innovations grâce à une grosse dose d’IA.
Innoloop accompagne particulièrement les projets d’innovation disruptive des start up, PME, grands groupes et milieux académiques.
The Innovation Loop c'est : 

25 collaborateurs en 2022 (40 en 2023) 
200 000 projets référencés sur la plateforme 
33 000 utilisateurs uniques de la plateforme
","Intelligence artificielle / Machine Learning, Logiciels",Lille,7 offres,/fr/companies/office-international-de-l-eau/jobs
Kincy,"Réassureur de renommée mondiale, Odyssey Reinsurance Company est une société américaine détenue par le groupe Fairfax basé à Toronto, qui propose un large éventail de solutions de réassurance dommages et responsabilités par le biais d’un réseau mondial de 14 succursales et bureaux de représentation.
OdysseyRe est active à Paris depuis plus de 20 ans et souscrit des traités Non-Vie à travers la zone EMEA (Europe, Moyen-Orient, Afrique).
Ses clients sont les grands noms de l’assurance et sa signature est le garant de la fiabilité, de la réactivité et de la compétence de ses équipes.
Elle est fière de son approche de souscription résiliente à long terme, de son appétit pour le risque bien défini et de son engagement à fournir un service de qualité.",Assurance,Paris,4 offres,/fr/companies/kincy/jobs
Syartec,"Syartec est une entreprise qui développe des applications Web et Mobile, principalement pour la distribution automobile.
La société née en 2012 a depuis déployé ses solutions dans plus de 30 pays et continue sur sa lancée en améliorant sans cesse ses produits pour de nouveaux clients.
En plus de proposer ses logiciels, Syartec accompagne ses clients dans toutes les étapes des déploiements et assure leur formation et support.","IT / Digital, Logistique",Aix-En-Provence,2 offres,/fr/companies/syartec/jobs
Fujitsu Technology Solutions,"Fondé en 2015, TrainMe s'est donnée une mission unique : rendre le sport et le bien-être accessibles à tous. Aujourd'hui, elle est la leader incontestée du coaching en France et commence même à s'étendre à l'international.
🌐 Disponible Partout, pour Tout le Monde
TrainMe met en relation plus de 2 700 coachs certifiés avec des milliers de particuliers et plus de 1 000 entreprises chaque mois, y compris des noms bien connus comme Total, BPCE et Céline.
🤝 Partenariat Stratégique avec Decathlon :
Depuis 2020, TrainMe est fière d'être associée à Decathlon, la marque préférée des Français en matière de sport. Ensemble, ils proposent des programmes sur mesure pour améliorer la qualité de vie au travail dans les entreprises.
🎯 Ce Que TrainMe Propose :
TrainMe est bien plus qu'une simple plateforme de coaching sportif ; c'est la partenaire incontournable pour améliorer la qualité de vie au travail dans votre entreprise. Elle accompagne les entreprises dans leur programme sport, bien-être et prévention santé.
Du fitness au yoga, en passant par les sports de combat, TrainMe propose un large éventail de plus de 60 d'activités pour faire bouger vos équipes. Et ce n'est pas tout : au-delà du sport, elle enrichit ses offres avec des ateliers et conférences sur des sujets aussi variés que la nutrition, le sommeil ou encore la méditation.","Accompagnement d'entreprises, Santé, Sport",Paris,Candidatures spontanées !,/fr/companies/fujitsu-france/jobs
TIK TRAK,"Modeo est une entreprise experte en Data Engineering, spécialisée dans la conception de Modern Data Platforms.
Sa mission : être la référence française en Data Engineering & Analytics.
Pour cela, Modeo s'appuie sur quatre piliers :

Travailler uniquement avec des clients innovants sur des missions stratégiques
Une formation continue qui repose sur des retours d'expérience concrets et une veille constante
Des partenariats avec les acteurs les plus innovants de l'écosystème data
Le développement de solutions data en interne

Modeo propose à ses clients un accompagnement sur leurs problématiques de Data Engineering & Analytics, PM data, AI et Data Apps.
Depuis sa création en 2019, Modeo a accompagné des startups et Grands Groupes dans la mise en place de leur stack data (FinTech, Sport, Luxe, Media, Retail, Energy...).
Modeo est avant tout une entreprise à taille humaine qui réunit des passionnés de la data et de la tech.","Big Data, Intelligence artificielle / Machine Learning, SaaS / Cloud Services",Paris,Candidatures spontanées !,/fr/companies/tik-trak/jobs
Kataba,"Mozoo est une agence créative digitale, fondée en 2010 et située au cœur de Paris. Nous aidons les entreprises innovantes à s’adapter de façon créative et efficace à l’évolution toujours plus complexe des technologies, des comportements et des usages. Nos 56 collaborateurs sont engagés au quotidien dans cette même mission : créer et diffuser des histoires de marques qui répondent aux enjeux de notre temps.
Nous pensons social first. Une approche qui nourrit nos expertises et offres intégrées sur le digital : Brand Content, Social Media, TikTok, Production vidéo, Social Ads et média display. Nous opérons à travers 4 pôles organisés pour être activés indépendamment ou en 360° : stratégie, création, production, média & diffusion.
L’agence se distingue sur le marché par son agilité, son intelligence créative et son efficacité. Nous exécutons ainsi à la vitesse des évolutions du digital, des comportements consommateur et du business.
Le motto qui nous guide au quotidien : Creating at the speed of change.
Un état d’esprit inscrit dans notre culture d’entreprise : depuis septembre 2020, l’agence expérimente la semaine de 4 jours et a obtenu le label Great Place To Work pour la 2ème année consécutive. Notre ambition : créer un impact positif sur l’ensemble de notre écosystème, nos équipes en premier lieu.","AdTech  / MarTech, Marketing / Communication, Publicité",Paris,2 offres,/fr/companies/kataba/jobs
Soben - TwinswHeel,"Fujitsu est le premier groupe japonais spécialisé en technologie de l'information et de la communication qui propose une gamme complète de produits, de solutions et de services technologiques.
Nos collaborateurs incarnent notre objectif global qui est de rendre le monde plus durable en instaurant la confiance dans la société grâce à l'innovation. Cet objectif ambitieux vise à démontrer la valeur que la technologie peut créer pour nos clients, aujourd'hui et demain.","Cybersécurité, IT / Digital, Intelligence artificielle / Machine Learning, SaaS / Cloud Services","La Défense, Lyon",3 offres,/fr/companies/soben/jobs
BPCE Assurances IARD,"Travailler chez Augusta Reeves, c’est rejoindre une ESN 100% SAP à l’expertise reconnue depuis 25 ans sur ses trois domaines d’activités : Régie/TMA/ Projets 💼
Nous sommes fiers de représenter une entreprise à taille humaine qui valorise les compétences de chacun, encourage l’évolution personnelle et reste à l’avant-garde des innovations SAP pour booster la transformation digitale de nos clients🌟
Commencez votre carrière dans le monde passionnant de SAP ! 🚀","IT / Digital, Logiciels","Paris, Bordeaux, Etoy, Lyon, Miramas, Nantes",26 offres,/fr/companies/bpce-assurances/jobs
Oxygen+,"Depuis 1966, nous sommes un groupe indépendant pionnier de l'épargne immobilière.
Au travers de nos métiers, l’Asset Management et la Promotion immobilière, nous sommes un groupe engagé qui investit dans le durable : pour nous, les performances qui durent sont les seules qui comptent.
PERIAL Asset Management, gère près de 6,5 milliards d’euros investis dans ses fonds (4 SCPI, 1 OPCI professionnel, 1 SCI et 2 mandats dédiés) par près de 60 000 clients épargnants et investisseurs.
PERIAL Investment & Development conçoit, réalise et réhabilite des ensembles tertiaires ou d’habitations collectives.
Groupe ayant pour ambition de devenir Entreprise à Mission, nous avons notamment créé notre propre Fondation, afin de soutenir tout projet et action contribuant à la lutte contre la précarité sociale et les inégalités sur le champ du logement, de l’habitat et de l’urbanisme.
Nous offrons à nos collaborateurs un accompagnement RH et managérial de proximité assurant un développement professionnel et des perspectives d’évolution.",Immobilier commercial,Paris,3 offres,/fr/companies/oxygen/jobs
Be Maad,"Si Be Maad est né, c’est parce que Laura, sa créatrice, aimait les bijoux. Mais les bijoux sincères, de qualité et à porter au quotidien. Des matières premières au savoir-faire, elle apprivoise alors l’art de la joaillerie et découvre les secrets des pierres.
Aujourd’hui l’ADN de Be Maad c’est d’avoir de vraies créations fabriquées à la main à partir d’un savoir-faire ancestral unique, et un style fort, reconnaissable et intemporel.",Joaillerie,Neuilly-Sur-Seine,6 offres,/fr/companies/be-maad/jobs
Learn Assembly,"INNOTHERA est une entreprise de santé française familiale, centenaire et tournée vers l’international.
Notre spécificité est de travailler dans 5 activités : la compression veineuse élastique, l’orthopédie, la podologie, l'hygiène et la protection, mais aussi les médicaments pour la santé du quotidien de la femme, contre l’insuffisance veineuse, les infections courantes et les déséquilibres minéraux-calciques.
Nous rejoindre, c’est vous investir aux côtés de nos 1500 collaborateurs dans l’engagement commun que nous partageons avec passion : la quête d’une meilleure santé pour tous.",Pharmaceutique / Biotechnologique,Arcueil,5 offres,/fr/companies/learn-assembly/jobs
Soleam,"Avec plus de 4 millions de patients pris en charge, MEDIN + est un acteur incontournable de la santé digitale en France.
Le Groupe a pour ambition de combiner les meilleures pratiques du monde du soin avec celles de l'entreprise innovante. 
C'est ainsi que l'exigence, l'éthique médicale et le prendre soin occupent une place centrale dans nos actions.","Logiciels, Organisation / Management, Santé","Montpellier, Illkirch-Graffenstaden",5 offres,/fr/companies/soleam/jobs
NOREA,"Renner Energies développe, finance, construit et exploite des projets d'energie renouvelable depuis 2002. 
Grâce à une collaboration fructueuse avec l’ensemble des acteurs concernés, la société développe des parcs éoliens, solaires et de batteries qui s’intègrent durablement dans les territoires. 
Au cours des dernières années, la puissance installée et en développement a plus que doublé et elle s’établit aujourd’hui à 3 GW.","Energie, Environnement / Développement durable","Leuven, Aix-En-Provence, Lille, Madrid, Mérignac, Paris, Reims, Rennes",9 offres,/fr/companies/norea/jobs
Mediactive Group,"Créée fin 2013, Learn Assembly est une entreprise dont la mission est d’aider les entreprises à mieux former les salariés, pour développer leur employabilité. Leur baseline : battez-vous pour l’employabilité de vos équipes ! Dans un monde digital et en changement permanent, développer la curiosité et la capacité d’apprentissage devient essentiel.
Learn Assembly est une équipe entreprenante, agile et passionnée. A la fois start-up et acteur du conseil, Learn Assembly propose la technologie Learning Boost pour comprendre et développer la capacité d’apprentissage puis accompagne ses clients via des solutions sur mesure. Ils réalisent des missions de conseil aux entreprises qui souhaitent repenser leur stratégie learning. Puis, ils créent des expériences d'apprentissage en utilisant différentes modalités pédagogiques (digital, présentiel, communautés, formation en situation de travail).
Leur approche inclut une phase d'immersion et d’analyse des modes d'apprentissage, une phase de recommandations et une phase de déploiement. Learn Assembly forme également des responsables formation aux nouvelles techniques pédagogiques. S’appuyant sur une communauté de cabinets de conseil, de LMS et d’agences de production, Learn Assembly a un écosystème de partenaires très riche.
Enfin, Learn Assembly a lancé Learn Assembly Papers, le média des optimistes de l’employabilité et organise chaque année  la French Touch de l'éducation, événement annuel réunissant les acteurs de la filière de l’emploi et du learning.","EdTech, Formation",Paris,5 offres,/fr/companies/mediactive/jobs
